Product Title,Type,Current Price,Product URL,Original Price,Discount,Estimated Delivery,Category,Rating,Reviews
Oceane Wooden Tall Candle Stand - Set Of Two,Wood,"₹1,299",https://vaaree.com/products/oceane-wooden-tall-candle-stand-set-of-two,"₹4,800",73% off,"Mon, 10th Mar",Candle Stand & Holders,5,2 Reviews
Tribal Bonfire Tealight Candle Holder,Metal,"₹1,139",https://vaaree.com/products/tribal-bonfire-tealight-candle-holder,"₹2,321",51% off,Delivery Tomorrow,Candle Stand & Holders,5,1 Reviews
Little Budha Smoke Fountain - Blue,Polyresin,₹280,https://vaaree.com/products/little-budha-smoke-fountain-blue,"₹2,999",91% off,"Mon, 10th Mar",Candle Stand & Holders,1,3 Reviews
Its A Crystal Affair Tealight Candle Holder (Gold) - Set Of Two,Iron,₹861,https://vaaree.com/products/its-a-crystal-affair-tealight-candle-holder-gold-set-of-two,"₹1,292",34% off,Delivery Tomorrow,Candle Stand & Holders,Inclusive of all taxes,Orders more than 10 Items?
Kantha Incense Stick Holder,Brass,₹280,https://vaaree.com/products/kantha-incense-stick-holder,₹599,54% off,"Mon, 10th Mar",Candle Stand & Holders,Inclusive of all taxes,Orders more than 10 Items?
Sino Ethnic Tealight Candle Holder,Iron,₹499,https://vaaree.com/products/sino-ethnic-tealight-candle-holder,₹749,34% off,Delivery Tomorrow,Candle Stand & Holders,4.5,4 Reviews
Butterfly Shadow Tealight Candle Holder - Set Of Four,Metal,₹379,https://vaaree.com/products/butterfly-shadow-tealight-candle-holder,₹699,46% off,Delivery Tomorrow,Candle Stand & Holders,4,1 Reviews
Multicolor Tealight Candle Holders - Set Of Ten,Glass,₹599,https://vaaree.com/products/multicolor-tealight-candle-holders-set-of-ten,₹719,17% off,"Mon, 10th Mar",Candle Stand & Holders,1,1 Reviews
Nega Incense Burner - White,Resin,₹799,https://vaaree.com/products/nega-incense-burner-white,"₹1,099",28% off,"Mon, 10th Mar",Candle Stand & Holders,Inclusive of all taxes,Orders more than 10 Items?
Mitra Brass Incense Stick Holder,Brass,"₹1,113",https://vaaree.com/products/mitra-brass-incense-stick-holder,"₹1,855",40% off,"Mon, 10th Mar",Candle Stand & Holders,4.5,2 Reviews
Lord Ganesha Smoke Fountain,Polyresin,₹340,https://vaaree.com/products/lord-ganesha-smoke-fountain,"₹2,999",89% off,"Mon, 10th Mar",Candle Stand & Holders,Inclusive of all taxes,Orders more than 10 Items?
Little Budha Smoke Fountain - Yellow,Polyresin,₹280,https://vaaree.com/products/little-budha-smoke-fountain-yellow,"₹2,999",91% off,"Mon, 10th Mar",Candle Stand & Holders,3.5,4 Reviews
Shri Ganesha And Lakshmi Tealight Candle Holder - Set Of Two,Metal,₹260,https://vaaree.com/products/shri-ganesha-and-lakshmi-tealight-candle-holder-set-of-two,₹899,72% off,"Mon, 10th Mar",Candle Stand & Holders,3,3 Reviews
Its A Crystal Affair Tall Tealight Candle Holder - Set Of Two,Iron,₹924,https://vaaree.com/products/its-a-crystal-affair-tall-tealight-candle-holder-set-of-two,"₹1,386",34% off,Delivery Tomorrow,Candle Stand & Holders,1,1 Reviews
Lantern Lore Tealight Candle Holder - White,Metal,₹260,https://vaaree.com/products/lantern-lore-tealight-candle-holder-white,₹999,74% off,"Mon, 10th Mar",Candle Stand & Holders,Inclusive of all taxes,Orders more than 10 Items?
Ambuja Ethched Tealight Candle Holder - Set Of Four,Iron,₹899,https://vaaree.com/products/ambuja-ethched-tealight-candle-holder-set-of-four,"₹1,499",40% off,"Mon, 10th Mar",Candle Stand & Holders,5,2 Reviews
Vera Candle Holder,Resin,"₹1,099",https://vaaree.com/products/vera-candle-holder,"₹1,999",45% off,"Mon, 10th Mar",Candle Stand & Holders,Inclusive of all taxes,Orders more than 10 Items?
Bella Turquoise Candle Holder - Set Of Three,Metal,"₹1,099",https://vaaree.com/products/bella-turquoise-candle-holder-set-of-three,"₹1,319",17% off,"Mon, 10th Mar",Candle Stand & Holders,3,1 Reviews
Trimero Crystal Tealight Candle Holder - Set Of Two,Iron,₹861,https://vaaree.com/products/trimero-crystal-tealight-candle-holder-set-of-two,"₹1,292",34% off,Delivery Tomorrow,Candle Stand & Holders,Inclusive of all taxes,Orders more than 10 Items?
Mandir Lantern Tealight Candle Holder - Set Of Four,Iron,₹440,https://vaaree.com/products/mandir-lantern-tealight-candle-holder-set-of-four,₹660,34% off,Delivery Tomorrow,Candle Stand & Holders,5,1 Reviews
Baby Buddha Monk Smoke Fountain - Green & Brown,Polyresin,₹280,https://vaaree.com/products/baby-buddha-monk-smoke-fountain-green-brown,"₹2,999",91% off,"Mon, 10th Mar",Candle Stand & Holders,Inclusive of all taxes,Orders more than 10 Items?
Jwala Ganesha Tealight Candle Holder,Metal,₹627,https://vaaree.com/products/jwala-ganesha-tealight-candle-holder,"₹1,699",64% off,"Mon, 10th Mar",Candle Stand & Holders,Inclusive of all taxes,Orders more than 10 Items?
Surya Tealight Candle Holder (Black) - Set of Two,Metal,₹951,https://vaaree.com/products/surya-tealight-candle-holder-black-set-of-two,"₹2,400",61% off,"Mon, 10th Mar",Candle Stand & Holders,Inclusive of all taxes,Orders more than 10 Items?
Bird Nest Candle Holder - Set Of Two,Metal,₹459,https://vaaree.com/products/bird-nest-candle-holder-set-of-two,"₹1,000",55% off,"Mon, 10th Mar",Candle Stand & Holders,Inclusive of all taxes,Orders more than 10 Items?
